N,P,K,temperature,humidity,ph,rainfall,label,soil_moisture,soil_type,sunlight_exposure,wind_speed,co2_concentration,organic_matter,irrigation_frequency,crop_density,pest_pressure,fertilizer_usage,growth_stage,urban_area_proximity,water_source_type,frost_risk,water_usage_efficiency
117,10,16,18.808072,93.419553,5.607547,151.472003,coffee,17.799745,2,10.351264,3.849523,382.651658,9.585806,1,9.634722,56.377187,120.937335,2,15.079812,1,68.73336,3.628878
20,54,17,27.30983,79.884027,6.203615,35.219778,blackgram,20.656609,1,9.219211,6.066858,377.799422,8.698934,2,14.221255,24.120714,194.621769,1,21.02692,1,51.668647,1.565375
10,17,23,22.6018,93.127261,7.209502,125.83183,orange,22.915547,1,9.145849,18.231735,410.444724,9.938826,3,8.116218,70.903568,92.612666,3,19.673952,3,5.60857,3.276437
118,20,52,28.470816,93.349177,6.897956,20.861921,muskmelon,26.772625,2,9.272742,19.600804,362.078813,2.964445,6,9.033479,12.302246,115.16685,1,46.151683,3,56.903522,4.331002
14,13,11,13.903209,92.486995,6.304869,80.488182,grapes,11.252913,3,9.540119,15.336009,376.426943,8.014846,1,17.038121,28.657486,175.155757,3,27.034218,1,58.925608,1.661865
89,28,33,26.44414097,53.83876189,6.993236001,175.3723314,coffee,19.50173649981193,3,7.928251969651355,5.063784366042103,412.6056260090952,2.8723466516038494,1,18.405801540761587,68.67657623259036,152.11563219325274,2,22.30156525341923,2,99.95727435075142,2.2998482900662403
29,37,26,22.176047,92.53346,6.253375,192.05313,apple,27.269022,2,11.242152,11.611445,368.407547,6.270365,1,17.388545,33.302797,147.801556,2,42.544256,1,3.345397,3.865406
118,74,54,30.252083,85.675341,5.97661,156.61999,banana,18.870267,3,10.689393,2.763948,448.407565,3.462871,5,14.033691,12.169916,193.543657,1,24.527052,2,4.655076,3.294017
31,30,28,20.46833,91.320569,5.895371,158.119927,apple,19.642304,2,9.768387,11.776096,393.458465,2.340625,4,8.385971,45.482783,199.337189,2,9.330286,2,87.952555,1.210319
13,31,15,28.444945,55.892834,4.324159,33.841721,mothbeans,25.279589,3,7.580761,8.429585,447.437914,3.594068,1,10.685101,0.795888,132.991349,2,5.258289,2,3.015989,2.121483
25,60,34,23.836082,24.916323,6.967274,31.534967,kidneybeans,17.043074,2,8.107722,14.347559,370.290348,2.344822,5,14.370222,48.963297,106.552916,1,36.334629,2,18.539028,3.548155
23,28,54,27.721652,84.192028,5.276623,121.61944,coconut,28.343923,3,8.377219,1.037832,446.948015,6.941563,2,8.973041,40.32765,64.149026,2,23.635505,3,2.957565,1.407009
108,38,12,26.99181,85.709779,6.246047,109.29022,cotton,28.718043,3,8.581945,11.136934,374.973978,1.043686,5,9.625511,61.954191,112.959565,1,12.946634,3,51.473079,2.433003
119,22,45,28.108079,91.099252,6.921217,31.715664,muskmelon,19.826866,2,6.191368,0.004586,422.770097,5.877671,4,15.472377,81.814363,78.674069,3,48.620146,2,96.326552,1.380416
21,71,19,19.325312,63.819945,6.348283,47.51862,lentil,14.386501,2,8.319084,6.228836,373.655703,1.20003,6,13.373119,59.83172,143.002535,3,9.741457,3,81.718149,2.552096
19,33,23,29.408379,47.688228,5.403124,32.472908,mothbeans,28.647371,1,6.249093,6.745088,391.126565,8.9636,5,6.025389,85.691318,114.483574,2,43.733323,2,0.297132,4.845512
31,41,79,21.846383,24.101758,6.200359,56.377542,chickpea,23.323695,1,7.187052,10.778426,361.032016,4.279642,6,7.738731,59.33734,76.69443,2,38.1129,2,40.747327,4.410019
32,41,16,28.63618921,61.39451307,7.702287236,68.54877876,mothbeans,25.256174771256287,3,11.350258278013676,8.99448400086142,417.202182771941,5.1479472015672,6,14.537185600385692,35.89195708738016,161.97563041305943,2,39.75883986656911,1,98.0636716590419,1.9752259311759577
29,11,5,23.13338811,91.94670335,7.639788459,104.4224145,orange,20.87396807319682,2,7.616996239200082,5.688598550380735,410.28654275614974,3.3509635448773247,4,11.910097894762586,11.472389469661492,74.10143217829099,1,40.77750511182843,2,43.29868702604696,1.6053512121616156
26,22,26,17.525544,80.608228,6.199337,70.697951,grapes,12.235201,2,9.935402,8.56282,406.620424,6.439741,2,5.75166,7.350892,81.678449,3,0.124303,1,69.722145,3.522813
11,13,58,32.643139,86.09303,6.048742,177.981533,pomegranate,27.230513,2,10.112879,4.387652,395.239225,6.071514,2,8.758885,52.883241,118.631985,3,37.081792,1,28.978771,1.189615
88,18,64,29.481839,86.59484,5.486632,63.133774,watermelon,17.903768,1,9.725241,11.412776,436.884022,7.380294,3,16.766805,19.30357,142.948288,1,47.124826,2,20.354282,4.124335
15,43,22,34.112167,57.408789,5.836839,43.569628,mothbeans,18.367928,2,5.684731,4.737447,355.840621,9.9283,1,8.982972,76.922341,187.169425,3,40.237746,2,0.949531,1.278459
20,70,19,22.637983,64.270971,7.125436,49.917859,lentil,20.522847,1,7.474283,7.726574,399.943214,1.60731,6,7.727071,36.872772,59.737587,2,7.76906,2,41.733701,4.461316
